name,count,aliases,has fusion genres,influenced genres,subgenres,influenced by,subgenre of,fusion of
hard trance,8622,"",,"euro-trance, freeform hardcore, hardstyle, melodic trance",,"acid trance","trance",
big beat,8603,"",,,,,"breakbeat",
traditional country,8553,"",,"country yodeling, rock and roll","close harmony, country boogie, country gospel","blues, folk","country",
spoken word,8504,"",,,"fairy tale, guided meditation, interview, lecture, speech",,,
bossa nova,8485,"bossa-nova, bossanova",,"mpb, onda nueva, sambass",,"jazz","samba",
acid jazz,8357,"club jazz",,,,,,"funk, hip hop, jazz, soul"
grime,8287,"",,"bérite club, purple sound, trap edm, uk drill","weightless","2-step, drum and bass, hip hop, jungle","edm",
eurodance,7868,"euro-nrg",,"dream trance, euro-trance, funkot, hands up, manyao, vinahouse","bubblegum dance, italo dance",,"dance",
noise rock,7697,"noise-rock",,"math rock, riot grrrl, shoegaze",,,"rock",
instrumental rock,7600,"",,,,,"rock",
motown,7473,"motown sound",,"smooth soul",,"gospel","pop soul",
christmas music,7368,"jõulumuusika, weihnachtsmusik",,,,,,
horror punk,7226,"",,,,,"punk rock",
industrial rock,7198,"",,,,,,"industrial, rock"
east coast hip hop,7179,"east coast hip-hop, east coast hiphop, east coast rap",,,,,"hip hop",
alternative pop,7143,"alt pop, alt-pop",,,,,"pop",
happy hardcore,7114,"",,,"bouncy techno, uk hardcore",,"hardcore techno",
medieval,7011,"medieval music",,"bardcore","ars antiqua, ars nova, ars subtilior, medieval lyric poetry, plainchant",,"western classical",
afrobeat,6985,"",,,,,,"funk, highlife, jazz"
harsh noise,6947,"",,,"harsh noise wall",,"noise",
future funk,6923,"vaporboogie",,,,"vaporwave","house",
mpb,6882,"música popular brasileira",,"tropicália",,"bossa nova, samba-canção",,
dub techno,6869,"",,,,"dub","minimal techno",
psychobilly,6813,"",,,,,,"punk rock, rockabilly"
post-grunge,6739,"post grunge, postgrunge",,,,"grunge","alternative rock",
alternative hip hop,6718,"alternative hip-hop, alternative hiphop, alternative rap",,,,,"hip hop",
harsh noise wall,6597,"",,,"ambient noise wall",,"harsh noise",
country blues,6559,"",,"skiffle","piedmont blues",,"blues",
surf rock,6548,"",,"indie surf, punk rock, rautalanka, surf punk, wong shadow","eleki","rock and roll","surf",
power electronics,6543,"",,"death industrial",,"industrial","noise",
rave,6431,"rave music",,,,,"edm",
country pop,6391,"pop country",,,"bro-country, countrypolitan",,,"country, pop"
lounge,6385,"",,"cocktail nation",,"jazz","easy listening",
dark electro,6257,"",,,"aggrotech","ebm","electro-industrial",
berlin school,6247,"",,,,"krautrock","progressive electronic",
gabber,6231,"",,"bouncy techno, hardstyle, industrial hardcore, rawstyle, terrorcore, uptempo hardcore","nu style gabber","acid house, new beat","hardcore techno",
screamo,6188,"skramz",,"neocrust","emoviolence","emo, hardcore punk","post-hardcore",
chicago blues,6066,"",,"british blues","acoustic chicago blues",,"blues",
dungeon synth,6021,"dark dungeon music",,,"comfy synth, winter synth","ambient, black metal","electronic",
cyberpunk,5949,"",,,,,,
glam rock,5886,"","glam punk","glam metal, new romantic, visual kei",,"pop rock, rock and roll","rock",
teen pop,5737,"",,,,,"pop",
goa trance,5710,"",,"psybient, psytrance","nitzhonot",,"trance",
uk garage,5682,"ukg",,"deep tech, future house, nu skool breaks, uk funky","2-step, bassline, breakstep, future garage, speed garage","garage house","edm",
viking metal,5520,"",,,,"black metal, folk","metal",
instrumental hip hop,5436,"instrumental hip-hop, instrumental hiphop",,"barber beats","lo-fi hip hop",,"hip hop",
field recording,5408,"",,,"nature sounds",,,
latin pop,5268,"pop latino",,"cumbia pop","tropipop","latin","pop",
tango,5070,"",,"maxixe","finnish tango, nuevo tango","maxixe, milonga",,
boom bap,5041,"boom-bap",,,,,"hip hop",
funk metal,5032,"",,"nu metal, rap metal",,,,"funk rock, metal"
plunderphonics,4993,"",,,"mad, ytpmv",,"experimental",
oi,4899,"oi!",,"street punk, uk82, viking rock",,,"punk rock",
folk pop,4840,"folk-pop",,"soft rock","manele, tallava, turbo-folk",,,"contemporary folk, pop"
brutal death metal,4817,"brutal death",,,"slam death metal",,"death metal",
deathcore,4785,"",,,,,,"death metal, metalcore"
aor,4728,"adult oriented rock, adult-oriented rock",,,,,"rock",
contemporary christian,4721,"ccm, contemporary christian music",,,"praise & worship","jesus music","pop",
futurepop,4714,"",,,,"ebm, synth-pop","electronic",
coldwave,4667,"cold wave",,,,,"post-punk",
indietronica,4657,"",,,"chillwave, glitch pop","indie pop","electronic",
darksynth,4608,"dark synth",,,,"electro-industrial, horror synth, metal","synthwave",
acid house,4587,"",,"acid breaks, acid techno, acid trance, gabber, hard house, trance",,,"house",
reggaeton,4554,"reggaetón",,"cumbia turra, moombahton, rasteirinha, salsa choke","cubatón, neoperreo, rkt","dancehall, hip hop",,
west coast hip hop,4551,"west coast hip-hop, west coast hiphop, west coast rap",,,,,"hip hop",
nu jazz,4497,"future jazz, nu-jazz, nujazz",,,,"jazz","electronic",
j-rock,4495,"japanese rock, jrock",,,"yakousei",,"alternative rock",
broken beat,4493,"bruk",,,,,"edm",
avant-garde jazz,4452,"avant-jazz",,"experimental big band, post-bop",,"avant-garde","jazz",
italo-disco,4434,"italo disco, italodisco",,"chicago house, doskpop, eurobeat, funktronica, italo house, spacesynth, synthwave",,,"electro-disco",
musique concrète,4415,"",,"industrial",,"noise","electroacoustic",
hardstyle,4339,"",,"hard trap, hardwave, lento violento, philly club","dubstyle, euphoric hardstyle, psystyle, rawstyle","gabber, hardcore techno, hard trance","edm",
dance-rock,4290,"",,,,"boogie, post-punk","rock",
witch house,4222,"",,"cloud rap",,"chillwave, chopped and screwed, dark wave, dream pop, ethereal wave, shoegaze, southern hip hop","electronic",
hardcore hip hop,4217,"hardcore hip-hop, hardcore hiphop, hardcore rap",,,"britcore, memphis rap",,"hip hop",
ethereal wave,4188,"ethereal darkwave, ethereal goth",,"witch house",,"dream pop, gothic rock","dark wave",
delta blues,4154,"",,"sacred steel",,,"blues",
folk punk,4125,"folk-punk",,,"celtic punk","folk","punk",
ska punk,3914,"",,,"skacore",,,"punk rock, ska"
salsa,3855,"",,"samba-reggae, tropicanibalismo","salsa choke, salsa dura, salsa romántica, timba","mambo, son cubano",,
samba,3810,"","samba-choro, samba-jazz","rasteirinha, sambass","bossa nova, pagodão, pagode, partido alto, samba-canção, samba de breque, samba de gafieira, samba de roda, samba de terreiro, samba-enredo, samba-exaltação, samba-joia, sambalanço, samba-rock",,,
mainstream rock,3803,"",,,,,"rock",
technical death metal,3802,"",,,"dissonant death metal",,"death metal",
garage house,3771,"",,"future house, speed garage, uk garage",,"disco","house",
hard house,3737,"uk hard house",,"hard nrg, speed house","donk, hardbass","acid house, bouncy techno, breakbeat hardcore, hardbag, hi-nrg","house",
electro-industrial,3688,"electro industrial, electroindustrial",,"darksynth","dark electro","ebm","industrial",
sound art,3685,"",,,,,"experimental",
reggae-pop,3683,"pop reggae, pop-reggae, reggae pop",,,,"contemporary r&b, pop, soul","reggae",
desert rock,3531,"",,,,,"stoner rock",
heavy psych,3458,"",,,,"blues rock, hard rock","psychedelic rock",
alternative punk,3452,"",,,,,"punk",
nu disco,3427,"nu-disco, nudisco",,"yakousei",,"disco","electronic",
alternative dance,3417,"",,"grebo, yakousei","madchester, new rave",,,"alternative rock, dance"
pop soul,3398,"pop-soul",,"philly soul","motown",,,"pop, soul"
future bass,3394,"",,"colour bass, future riddim","future core, kawaii future bass","trap edm, wonky","edm",
rocksteady,3338,"",,"reggae",,"ska, soul",,
noise pop,3336,"noise-pop",,,,,"indie rock",
psychedelic pop,3317,"psych pop, psych-pop",,"paisley underground, tropicália",,"psychedelic","pop",
contra,3309,"contra dance",,,,,,
honky tonk,3273,"honky-tonk",,"neo-traditional country, truck driving country",,,"country",
alternative folk,3268,"alt folk, alt-folk",,,,,"contemporary folk",
melodic black metal,3205,"",,,,,"black metal",
lo-fi hip hop,3182,"chill hop, chill-hop, chillhop, lo-fi hip-hop, lo-fi hiphop, lofi hip hop, lofi hiphop",,,,"downtempo","instrumental hip hop",
speedcore,3156,"",,"flashcore","extratone, splittercore",,"hardcore techno",
depressive black metal,3139,"",,,,,"black metal",
electroacoustic,3120,"",,"eai","acousmatic, musique concrète",,"experimental electronic",
mod,3120,"",,,"mod revival","beat music, british rhythm & blues, jazz, r&b","rock",
glitch hop,3109,"","wonky",,"neurohop",,,"hip hop, idm"
neoclassicism,3093,"neoclassical",,,,,"western classical",
flamenco,3080,"",,"copla, flamenco pop, rock andaluz, saeta","nuevo flamenco, rumba flamenca",,,
art pop,3072,"art-pop, artpop",,,,,"pop",
groove metal,3044,"",,,,"thrash metal","metal",
classical crossover,3039,"",,,,"western classical","pop",
christian rock,2988,"",,,,,"rock",
instrumental jazz,2957,"",,,,,"jazz",
surf,2947,"",,,"surf rock, vocal surf",,"rock",
electroclash,2928,"",,"french electro",,,"edm",
electronic rock,2905,"electrorock",,,,,,"electronic, rock"
dark folk,2898,"",,,,"ambient","neofolk",
djent,2887,"",,,,,"progressive metal",
acid rock,2882,"",,"hard rock",,,"psychedelic rock",
renaissance,2879,"",,,,,"western classical",
melodic hardcore,2832,"",,,,,"hardcore punk",
neo-traditional country,2808,"neotraditional country, neo-traditionalist country, neotraditionalist country",,"texas country",,"honky tonk, pop rock","contemporary country",
no wave,2787,"no-wave, nowave",,,,"punk rock","experimental rock",
ragga,2774,"raggamuffin","ragga hip-hop","raggacore, ragga jungle",,,"dancehall",
southern hip hop,2760,"",,"cloud rap, witch house","dirty south",,"hip hop",
dixieland,2736,"dixieland jazz",,"skiffle, western swing",,"blues, ragtime","jazz",
vocal trance,2707,"",,,,"pop","trance",
blue-eyed soul,2704,"blue eyed soul, white soul",,,,"pop","r&b",
bedroom pop,2702,"",,,,,"indie pop",
wave,2685,"",,,"hardwave","cloud rap, trap","electronic",
latin rock,2679,"",,,,"latin","rock",
minimalism,2648,"minimalism, minimal music",,"post-minimalism, totalism",,"hindustani classical","modern classical",
aggrotech,2578,"harsh ebm, hellektro, terror ebm",,"cyber metal",,,"dark electro",
new romantic,2563,"",,,,"glam rock, synth-pop","new wave",
deep techno,2558,"",,,,,"techno",
garage punk,2553,"",,,,,,"garage rock, punk rock"
minimal techno,2552,"",,"melbourne bounce, melodic techno, microhouse, progressive psytrance","dub techno","detroit techno","techno",
k-pop,2532,"",,"semi-trot",,"contemporary r&b, dance-pop, hip hop","pop",
g-funk,2498,"gangsta funk, gangster funk",,"purple sound",,"p-funk","hip hop",
cumbia,2487,"","merecumbé","guaracha edm, lambada, pachanga, porro, tropicanibalismo","cumbia argentina, cumbia colombiana, cumbia mexicana, cumbia peruana, nueva cumbia chilena",,,
hi-nrg,2463,"",,"eurobeat, hard house, hard nrg",,,"electro-disco",
footwork,2455,"","footwork jungle","drill, hardcore breaks",,"ghetto house, hip hop, juke","edm",
acoustic blues,2446,"",,,"jug band",,"blues",
powerviolence,2442,"power violence",,"emoviolence",,"grindcore","hardcore punk",
industrial techno,2438,"",,,,"industrial","techno",
deathrock,2409,"death rock",,,,"gothic rock","punk rock",
jazz rap,2395,"jazz hip hop, jazz hip-hop, jazz hiphop, jazz hop, jazz-hop, jazz-rap, jazzy hip hop, jazzy hip-hop, jazzy hiphop",,,,"jazz","hip hop",
juke,2367,"",,"footwork",,,"ghetto house",
symphonic black metal,2349,"",,,,"western classical","black metal",
post-industrial,2339,"post industrial, postindustrial",,"deconstructed club, midtempo bass, neofolk","ebm, epic collage, martial industrial, power noise",,"industrial",
comedy rock,2334,"",,,,"comedy","rock",
baroque pop,2323,"",,"chamber pop, soft rock",,"western classical","pop",
old school death metal,2322,"",,,,,"death metal",
mathcore,2318,"",,,,"math rock","metalcore",
turntablism,2304,"",,,,,"hip hop",
northern soul,2300,"",,,,,"soul",
standup comedy,2296,"stand up, stand-up, standup, stand up comedy, stand-up comedy",,,,,"comedy",
blackgaze,2289,"",,,,,,"black metal, shoegaze"
roots rock,2238,"",,,"tex-mex","blues, country, r&b","rock",
blackened death metal,2238,"",,,,"black metal","death metal",
classic blues,2202,"",,,,,"blues",
beat music,2148,"british beat, merseybeat","candombe beat","bolero-beat, freakbeat, mod, pop yeh-yeh, yé-yé","group sounds, jovem guarda, nederbeat","rock and roll","pop rock",
goregrind,2104,"",,,"gorenoise, pornogrind","death metal","grindcore",
smooth soul,2069,"",,,,"motown","soul",
neo-rockabilly,2046,"neorockabilly",,"punk, rockabilly",,,"rock",
afro-cuban jazz,2027,"",,,,,"latin jazz",
chamber pop,2004,"ork-pop",,,,"baroque pop","indie pop",
psychedelic folk,2003,"acid folk, psych folk, psych-folk",,,"freak folk, free folk","psychedelic","contemporary folk",
illbient,1949,"",,,,"ambient, dub, hip hop","electronic",
neo-psychedelia,1913,"neo-psych, neopsychedelia","space rock revival","hypnagogic pop, shoegaze","paisley underground",,"psychedelic",
deep soul,1902,"",,,,"blues, gospel","soul",
gypsy jazz,1896,"jazz manouche",,,,"folk","jazz",
piano blues,1869,"",,,,"ragtime","blues",
ragga hip-hop,1852,"ragga hip hop, ragga hiphop",,,,,,"hip hop, ragga"
noisecore,1840,"",,,,"noise","hardcore punk",
progressive electronic,1837,"",,"dreampunk, space ambient, synth-pop, synthwave","berlin school","ambient, progressive rock, western classical","electronic",
horrorcore,1825,"horror hip hop, horror hip-hop, horror hiphop, horror rap",,,,,"hip hop",
dreampunk,1823,"",,,,"ambient, progressive electronic","vaporwave",
tribal house,1779,"",,"changa tuki, hard drum, jungle terror, uk funky","guaracha edm","folk","house",
ambient techno,1778,"",,,,"ambient","techno",
new beat,1755,"",,"gabber, makina",,"dark wave","ebm",
ballet,1740,"","opera-ballet",,,,"western classical",
italo dance,1693,"italo-dance, italodance",,"lento violento",,,"eurodance",
crust punk,1668,"crust",,,"blackened crust, neocrust, stenchcore",,"hardcore punk",
modal jazz,1667,"",,"post-bop",,,"jazz",
contemporary gospel,1666,"",,,,,"gospel",
irish folk,1645,"irish traditional","country and irish",,"sean-nós",,"celtic",
martial industrial,1642,"",,,,"dark ambient, neoclassical dark wave, neofolk","post-industrial",
psybient,1617,"psych ambient, psych-ambient, psychedelic ambient, psychill, psydub",,,,"ambient, goa trance, psytrance","electronic",
neurofunk,1603,"",,"halftime, neurohop",,"techstep","drum and bass",
interview,1603,"",,,,,"spoken word",
funk rock,1594,"","funk metal","mangue beat",,,,"funk, rock"
quiet storm,1569,"",,,,,"r&b",
folktronica,1556,"",,,,"folk","electronic",
acid techno,1552,"",,"acidcore, peak time techno",,"acid house","techno",
texas blues,1545,"",,,"acoustic texas blues, electric texas blues","jazz, swing","blues",
ragtime,1532,"rag time, rag-time",,"dixieland, jazz, piano blues, stride","novelty piano","march",,
hip house,1512,"hip-house, house rap, rap house",,,,"hip hop","house",
electropunk,1504,"electro punk, electro-punk, synth punk, synth-punk, synthpunk",,"neue deutsche welle",,"electronic","punk",
avant-garde metal,1490,"avant-metal",,,,"avant-garde","metal",
experimental hip hop,1489,"experimental hip-hop, experimental hiphop",,,"industrial hip hop",,"hip hop",
post-classical,1488,"post classical, postclassical",,,,"electronic","contemporary classical",
new jack swing,1482,"new jack, swingbeat",,"hip hop soul",,"funk, hip hop","contemporary r&b",
freak folk,1479,"",,,,,"psychedelic folk",
heartland rock,1434,"",,,,"contemporary folk, country rock, pop rock, singer-songwriter","rock",
mallsoft,1407,"",,,,"easy listening, smooth jazz","vaporwave",
klezmer,1392,"קלעזמער",,"gypsy punk",,,,
eurobeat,1391,"",,,,"hi-nrg, italo-disco","dance",
slowcore,1387,"",,"post-rock",,"contemporary folk, folk rock, indie folk","indie rock",
minimal wave,1384,"",,,"minimal synth",,"electronic",
funeral doom metal,1384,"funeral doom",,,,"death-doom metal","doom metal",
dirty south,1369,"",,,,,"southern hip hop",
d-beat,1350,"",,,,"anarcho-punk, metal","hardcore punk",
hyperpop,1337,"",,,,"bubblegum bass, dance-pop, electropop","pop",
rumba,1317,"",,,,,,
vaportrap,1312,"",,,,"trap","vaporwave",
nerdcore,1297,"nerdcore hip hop, nerdcore hip-hop, nerdcore hiphop",,,,,"hip hop",
pub rock,1296,"",,,,,"rock",
anarcho-punk,1269,"",,"d-beat",,,"punk",
exotica,1261,"",,"cocktail nation",,,"easy listening",
emocore,1257,"emotional hardcore",,,,,"emo, post-hardcore",
jangle pop,1247,"",,"c86, madchester, neo-acoustic, paisley underground",,"folk rock, power pop","pop rock",
future garage,1245,"",,,,"2-step","uk garage",
crunk,1245,"","crunkcore",,,,"hip hop",
opm,1231,"",,,,,"pop",
classic jazz,1223,"",,,,,"jazz",
boogie rock,1221,"",,,,,"blues rock",
poetry,1205,"",,,"beat poetry, dub poetry, jazz poetry, slam poetry, sound poetry",,,
rapcore,1204,"",,,,,,"hardcore punk, hip hop"
cajun,1204,"cajun music, musique cadienne",,"swamp blues, swamp rock, zydeco",,,,
lovers rock,1193,"",,,,,"reggae",
j-core,1189,"",,"future core",,,"hardcore techno",
glam metal,1186,"hair metal",,,,"glam rock","hard rock",
cloud rap,1175,"",,"hexd, tread, wave",,"chillwave, southern hip hop, witch house","hip hop",
skate punk,1157,"skatepunk",,,,,"punk rock",
deathgrind,1154,"",,,,,,"death metal, grindcore"
louisiana blues,1149,"",,,,,"blues",
city pop,1126,"シティ・ポップ",,"j-pop",,,"pop",
mandopop,1116,"mandapop",,"manyao",,"shidaiqu","c-pop",
freestyle,1111,"",,"funk melody",,"dance-pop, disco, electro, hip hop","edm",
french house,1103,"",,,,"disco, funk","house",
ambient pop,1097,"",,,,"ambient, dream pop","pop",
progressive psytrance,1087,"minimal psytrance, progpsy, psygressive, psyprog",,,,"deep house, minimal techno, progressive house, tech house","psytrance",
bolero,1083,"","bolero son","latin ballad, rhumba, samba-joia, trova yucateca, vietnamese bolero","filin",,,
country folk,1076,"",,,,,,"contemporary folk, country"
death-doom metal,1059,"death doom, death-doom, death doom metal, doom death, doom-death, doom death metal, doom-death metal",,"funeral doom metal",,"death metal","doom metal",
sophisti-pop,1059,"",,,,"jazz, r&b, soul","pop",
bubblegum pop,1053,"bubblegum",,"bubblegum dance",,,"pop",
proto-punk,1042,"proto punk, protopunk","glam punk","punk",,,"rock",
halftime,1040,"",,,,"dubstep, neurofunk, wonky","drum and bass",
vallenato,1039,"",,"tropicanibalismo, tropipop",,,,
symphonic prog,1037,"symphonic progressive, symphonic progressive rock",,"neo-progressive rock, rock andaluz",,"western classical","progressive rock",
hardcore techno,1026,"","crossbreed, digital hardcore","breakcore, hardstyle, hardvapour, lento violento, mashcore","acidcore, doomcore, freeform hardcore, frenchcore, gabber, happy hardcore, industrial hardcore, j-core, modern hardtek, speedcore, terrorcore, uptempo hardcore","techno","edm",
traditional pop,1017,"",,,,"vocal jazz","pop",
british blues,1015,"",,,,"chicago blues, electric blues","blues",
ambient trance,1010,"",,,,"ambient","trance",
fado,1010,"",,"música de intervenção","fado de coimbra",,,
anti-folk,977,"",,,,,"contemporary folk",
digital hardcore,971,"",,,,,,"hardcore punk, hardcore techno"
christian metal,961,"heavenly metal, jesus metal, white metal",,,,,"metal",
southern soul,953,"",,,,"electric blues, gospel, r&b","soul",
mambo,953,"",,"compas, salsa",,"danzón",,
death industrial,947,"",,,,"dark ambient, noise, power electronics","industrial",
brostep,946,"",,"drumstep, hybrid trap, moombahcore","colour bass, deathstep, riddim dubstep",,"dubstep",
rap rock,936,"rap-rock",,"rap metal",,,,"hip hop, rock"
kayōkyoku,931,"kayokyoku",,"nyū myūjikku","idol kayō, mood kayō, techno kayō","ryūkōka","pop",
uk hardcore,916,"",,"modern hardtek",,"bouncy techno, breakbeat hardcore, trance","happy hardcore",
western,913,"cowboy, western country",,,,,"country",
zydeco,910,"",,"swamp blues, swamp rock","nouveau zydeco","blues, cajun, jazz, r&b",,
progressive country,909,"",,,"outlaw country","contemporary folk, rock","country",
jazz blues,886,"blues jazz",,,,,,"blues, jazz"
production music,875,"library music, stock music",,,,,,
swamp pop,870,"",,,,"blues, new orleans r&b, rock and roll","r&b",
ritual ambient,869,"",,,,,"dark ambient",
calypso,867,"calypso music","axé, cadence lypso, spouge","brega calypso, palm-wine, shanto, ska, soca, tropical rock",,,,
funky house,860,"",,,,"funk","house",
merengue,844,"","merecumbé","electro latino, pachanga, samba-reggae","merenhouse",,,
drone metal,838,"",,,,"dark ambient, drone, noise","metal",
minimal synth,835,"",,,,"synth-pop","minimal wave",
melodic metalcore,824,"",,,,"melodic death metal","metalcore",
sunshine pop,822,"",,,,"easy listening, psychedelic","pop",
dark psytrance,820,"darkpsy",,,"hi-tech, psycore",,"psytrance",
dance-punk,819,"disco-punk",,"new rave, sasscore",,"disco, funk","post-punk",
electro swing,815,"",,,,,,"electronic, swing"
jump blues,815,"",,"ska, soul blues",,,"blues",
jazz pop,812,"jazz-pop, pop jazz, pop-jazz",,,,"jazz","pop",
outlaw country,802,"",,"red dirt, texas country",,"rock","progressive country",
pop metal,800,"pop-metal",,,,"arena rock, pop","metal",
euro-disco,790,"euro disco, eurodisco",,,,,"disco",
cantopop,778,"hk-pop",,,,,"c-pop",
nightcore,769,"",,,,,"electronic",
cybergrind,769,"",,,,,"grindcore",
drumstep,767,"dnbstep, ドラムステップ",,,,"brostep, jump up","drum and bass",
chillstep,759,"",,,,"downtempo","dubstep",
street punk,757,"streetpunk",,"uk82",,"oi","hardcore punk",
bassline,752,"bassline house",,,,"house","uk garage",
space ambient,752,"",,,,"drone, progressive electronic","ambient",
world fusion,723,"",,,,,,"folk, jazz"
polka,719,"","biguine","tejano","schottische",,,
progressive pop,718,"prog pop, prog-pop",,,,,"pop",
lolicore,709,"",,,,,"breakcore",
modern blues,694,"",,,,,"blues",
indorock,687,"",,,,,"rock and roll",
impressionism,686,"",,,,,"western classical",
zouk,672,"",,"kizomba","afro-zouk, cabo zouk, zouk love","bélé, biguine, cadence lypso, compas, gwo ka",,
power noise,669,"rhythmic noise",,"industrial hardcore",,"electronic, noise","post-industrial",
piano rock,659,"",,,,,"rock",
twee pop,659,"",,"donosti sound",,,"indie pop",
texas country,643,"",,,,"neo-traditional country, outlaw country","country",
progressive bluegrass,640,"newgrass",,,"jamgrass","folk, jazz, rock","bluegrass",
sound collage,635,"",,"epic collage",,,"experimental",
art punk,616,"art-punk",,,,,"punk",
dark jazz,616,"doom jazz, noir jazz",,,,"dark ambient","jazz",
éntekhno,613,"entekhno, έντεχνο",,,"neo kyma",,,
black ambient,603,"",,,,"black metal","dark ambient",
frenchcore,593,"",,"uptempo hardcore",,,"hardcore techno",
progressive folk,588,"prog folk, prog-folk",,,,,"contemporary folk",
queercore,580,"homocore",,,,,"punk rock",
highlife,577,"","afrobeat","hiplife, makossa","burger-highlife",,,
detroit techno,570,"",,"ghettotech, minimal techno",,,"techno",
darkstep,559,"","crossbreed","dungeon sound","skullstep",,"drum and bass",
occult rock,558,"",,,,"blues, hard rock, progressive rock, psychedelic rock","rock",
steampunk,557,"",,,,"dark wave, industrial, new wave, synth-pop",,
seapunk,553,"",,,,,"electronic",
avant-garde pop,552,"avant-pop",,,,"avant-garde","pop",
nashville sound,549,"",,,,"pop","country",
western swing,546,"",,,,"dixieland, swing","country",
techstep,546,"",,"breakstep, neurofunk",,"hardstep","drum and bass",
microhouse,543,"",,,,"glitch, idm, minimal techno","house",
cabaret,539,"",,"dark cabaret",,,"musical",
rap metal,536,"rap-metal",,,,"funk metal, hip hop, rap rock","alternative metal",
country gospel,532,"",,"bluegrass gospel",,"gospel","traditional country",
rock opera,531,"",,,,"musical","rock",
emo pop,529,"emo pop punk, pop-emo",,,,,,"emo, pop punk"
indian classical,526,"south asian classical",,"burmese classical, indo jazz, persian classical","carnatic classical, hindustani classical, odissi classical",,"classical",
crossbreed,525,"",,,,,,"darkstep, hardcore techno"
neo-progressive rock,523,"neo-prog, neoprog, neoprogressive rock",,,,"symphonic prog","progressive rock",
celtic rock,522,"",,,,"celtic","folk rock",
soca,517,"","chutney soca, rapso","uk funky","dennery segment, power soca","calypso",,
skiffle,513,"",,,,"country blues, dixieland, jazz","folk",
melodic trance,511,"uplifting trance",,"euphoric hardstyle, festival progressive house, nitzhonot",,"dream trance, hard trance, progressive trance","trance",
sovietwave,511,"",,,,,"synthwave",
phonk,510,"",,,,"memphis rap, trap","hip hop",
forró,508,"forro","axé","lambada","forró eletrônico, forró universitário","baião",,
jam band,503,"jam rock",,"jamgrass","livetronica",,"rock",
electro-funk,499,"",,,,,"funk",
boogie,498,"post-disco",,"dance-rock",,"funk, r&b","disco",
vocal house,496,"",,,,,"house",
hauntology,496,"",,,,,,
speech,496,"",,,,,"spoken word",
skacore,492,"",,,,"hardcore punk","ska punk",
pornogrind,485,"",,,,,"goregrind",
madchester,484,"baggy",,,,"funk, jangle pop","alternative dance",
war metal,482,"",,,,"death metal","black metal",
bachata,476,"",,"electro latino",,,"latin",
wonky,473,"",,"future bass, halftime, trap edm",,,,"dubstep, glitch hop"
tech trance,473,"",,"big room trance",,"techno","trance",
speed garage,472,"",,"deep tech",,"garage house, jungle","uk garage",
tropical house,472,"",,,,"deep house","house",
psychedelic soul,470,"",,,,"psychedelic rock","soul",
hindustani classical,469,"hindustani classical music",,"minimalism, sarala gee, sufiana kalam, sufi rock","abhang, dhrupad, khyal, natya sangeet, thumri",,"indian classical",
crossover jazz,468,"",,,,,"jazz",
drill,460,"",,"chicago bop","jersey drill, uk drill","footwork","trap",
brass band,456,"",,,"british brass band",,"western classical",
punk blues,454,"blues punk",,,,"blues rock, punk rock","rock",
old-time,453,"old-time music",,,,,"folk",
nueva canción,440,"nueva cancion",,"nueva trova","nueva canción chilena, nueva canción española, nuevo cancionero",,"singer-songwriter",
crossover prog,439,"",,,,,"progressive rock",
emo rap,438,"emo hip hop, emo hip-hop, emo hiphop",,,,,,"emo, hip hop"
ghettotech,438,"",,,,"detroit techno, electro, ghetto house, miami bass","edm",
sketch comedy,436,"",,,,,"comedy",
neue deutsche welle,436,"ndw",,"hamburger schule",,"electropunk, industrial, post-punk, punk rock, synth-pop","new wave",
bakersfield sound,436,"",,"truck driving country",,,"country",
crossover thrash,434,"",,,,,,"hardcore punk, thrash metal"
bounce,433,"bounce music, new orleans bounce",,"twerk",,,"hip hop",
music hall,428,"",,,,,"musical",
audio drama,426,"audio play, audio theatre, radio drama, radio play, radio theatre",,,,,,
ambient house,423,"",,"atmospheric drum and bass",,"ambient","house",
nwobhm,421,"",,"speed metal, thrash metal",,"punk","heavy metal",
ambient dub,412,"",,,,,,"ambient, dub"
microsound,412,"",,,,,"electronic",
west coast swing,409,"",,,,,,
complextro,407,"",,"moombahcore",,,"electro house",
avant-prog,404,"",,,"zeuhl","avant-garde","progressive rock",
indian pop,402,"indi-pop",,,,,"pop",
garage rock revival,402,"",,,,"alternative rock, indie rock, post-punk","garage rock",
ranchera,395,"",,,,,"regional mexicano",
raï,392,"rai",,,"pop raï",,,
uk funky,388,"",,"hard drum",,"dancehall, soca, tribal house, uk garage","edm",
swing revival,387,"",,"cocktail nation",,"punk rock, rockabilly, ska","swing",
lowercase,383,"",,,,,"reductionism",
synth funk,383,"synth-funk, synthfunk",,"funktronica, purple sound, skweee","minneapolis sound",,"funk",
future house,378,"","future bounce","slap house",,"electro house, garage house, uk garage","house",
yacht rock,376,"",,,,"r&b","soft rock",
bass house,375,"",,"speed house",,,"house",
waltz,373,"",,"pasillo, tejano, vals criollo","slow waltz, valsa brasileira",,,
boogie-woogie,370,"boogie woogie",,"country boogie",,,"blues",
trap edm,369,"",,"bérite club, future bass, hardwave, philly club","festival trap, hard trap, heaven trap, hybrid trap, twerk","dubstep, grime, trap, wonky","edm",
bhangra,369,"ਭੰਗੜਾ",,"folkhop",,,,"folk, pop"
melodic techno,365,"",,"future rave",,"minimal techno, trance","techno",
dark cabaret,357,"",,,,"cabaret",,
